"County,Median household income overall,High. School graduation rate (2017-2018),Poor or fair health"								Poor or fair health
"Sabine,43800,94,77"								77
"San Augustine,40100,,75"								75
"San Jacinto,42600,90,76"								76
"San Patricio,57300,94,75"								75
"San Saba,46100,,75"								75
"Schleicher,53300,,78"								78
"Scurry,56300,91,76"								76
"Shackelford,65100,,81"								81
"Shelby,39700,94,74"								74
"Sherman,55500,,78"								78
"Smith,59500,92,79"								79
"Somervell,67900,81,79"								79
"Starr,32500,91,59"								59
"Stephens,46700,88,76"								76
"Sterling,66800,,78"								78
"Stonewall,48300,,79"								79
"Sutton,63400,,79"								79
"Swisher,44400,90,71"								71
"Tarrant,70100,91,79"								79
"Taylor,54500,93,80"								80
"Terrell,45700,,74"								74
"Terry,43000,95,71"								71
"Throckmorton,42700,,80"								80
"Titus,49900,96,74"								74
"Tom Green,54800,90,79"								79
"Travis,80700,92,84"								84
"Trinity,43800,93,77"								77
"Tyler,48300,96,78"								78
"Upshur,53100,95,80"								80
"Upton,58900,,74"								74
"Uvalde,44700,88,71"								71
"Val Verde,45000,82,70"								70
"Van Zandt,55600,92,79"								79
"Victoria,57300,89,77"								77
"Walker,47500,78,77"								77
"Waller,61800,95,77"								77
"Ward,61400,97,75"								75
"Washington,59000,93,80"								80
"Webb,52600,94,65"								65
"Wharton,49900,97,75"								75
"Wheeler,58500,,78"								78
"Wichita,51500,96,78"								78
"Wilbarger,42600,91,74"								74
"Willacy,35800,90,63"								63
"Williamson,92700,95,85"								85
"Wilson,76900,95,81"								81
"Winkler,64900,93,73"								73
"Wise,70500,95,80"								80
"Wood,56900,96,80"								80
"Yoakum,62600,96,75"								75
"Young,52600,97,79"								79
"Zapata,36100,91,60"								60
"Zavala,32500,93,60"								60
",,,"								
