County,Uninsured,Mental health providers 2020 - ratio of pop to providers,Poor or fair health,,
Terrell,,"19780",26,,
Terry,25,"12340",29,,
Throckmorton,24,"1500",20,,
Titus,22,"1560",26,,
Tom Green,,"17640",21,,
Travis,,"15340",16,,
Trinity,21,"7330",23,,
Tyler,18,"3610",22,,
Upshur,21,"2610",20,,
Upton,19,,26,,
Uvalde,24,"1910",29,,
Val Verde,22,"1890",30,,
Van Zandt,21,"2980",21,,
Victoria,,"18640",23,,
Walker,20,"1780",23,,
Waller,23,"3680",23,,
Ward,19,"6000",25,,
Washington,19,"1790",20,,
Webb,30,"2940",35,,
Wharton,23,"2310",25,,
Wheeler,26,"1690",22,,
Wichita,,"17630",22,,
Wilbarger,,"22670",26,,
Willacy,23,"3560",37,,
Williamson,,"12830",15,,
Wilson,16,"3190",19,,
Winkler,21,,27,,
Wise,21,"3330",20,,
Wood,20,"2850",20,,
Yoakum,22,"4360",25,,
Young,22,"1800",21,,
Zapata,28,,40,,
Zavala,20,"1970",40,,
